order_id,session_id,user_id,order_ts,payment_method,net_amount,gross_amount,discount_amount,total_items,distinct_products,top_category,category_mix,avg_rating,total_cost,margin_proxy
O0000011,S0000170,U000601,2025-10-26T20:08:08,Card,4922.12,5515.6,593.48,5,4,Sports,"{""Sports"": 0.5, ""Electronics"": 0.25, ""Fashion"": 0.25}",3.9,3229.3999999999996,1692.7200000000003
O0000012,S0000194,U001883,2025-12-27T19:04:46,Card,5242.21,5325.84,83.63,5,3,Beauty,"{""Beauty"": 1.0}",3.9,3823.4799999999996,1418.7300000000005
O0000013,S0000199,,2025-12-05T18:52:42,Wallet,1098.6,1175.83,150.72,1,1,Books,"{""Books"": 1.0}",4.2,754.73,343.8699999999999
O0000014,S0000210,,2025-12-24T13:48:46,COD,5702.07,6381.79,679.72,5,3,Home,"{""Home"": 0.667, ""Sports"": 0.333}",3.9333333333333336,3335.71,2366.3599999999997
O0000015,S0000212,U002058,2025-12-14T08:53:35,UPI,5862.93,6305.04,442.11,6,3,Electronics,"{""Electronics"": 0.667, ""Fashion"": 0.333}",3.9333333333333336,4194.9,1668.0300000000007
O0000016,S0000214,U000816,2025-12-09T17:08:41,Card,11481.3,12398.07,916.77,6,4,Sports,"{""Sports"": 0.75, ""Electronics"": 0.25}",4.475,7937.7699999999995,3543.5299999999997
O0000017,S0000232,U001851,2025-10-30T01:24:17,Card,9639.43,9975.91,336.48,9,4,Home,"{""Home"": 0.5, ""Sports"": 0.25, ""Beauty"": 0.25}",3.725,5604.67,4034.76
O0000018,S0000233,U002028,2026-01-16T21:31:59,Card,10736.71,10736.71,0.0,6,3,Electronics,"{""Electronics"": 0.667, ""Beauty"": 0.333}",4.233333333333333,5973.969999999999,4762.74
O0000019,S0000253,U001569,2025-10-24T15:16:41,Card,14234.04,14907.5,673.46,8,3,Books,"{""Books"": 0.333, ""Fashion"": 0.333, ""Home"": 0.333}",4.1000000000000005,9124.98,5109.060000000001
O0000020,S0000367,U000257,2026-01-16T21:38:10,Wallet,2335.03,2492.46,157.43,2,1,Electronics,"{""Electronics"": 1.0}",5.0,1423.72,911.3100000000002
O0000021,S0000369,U000478,2025-12-04T00:18:37,UPI,6767.06,7310.93,543.87,5,2,Books,"{""Books"": 0.5, ""Sports"": 0.5}",4.15,4034.92,2732.1400000000003
O0000022,S0000381,U001985,2026-01-01T11:04:40,COD,9146.39,10156.76,1010.37,8,4,Electronics,"{""Electronics"": 0.5, ""Books"": 0.25, ""Sports"": 0.25}",4.0,5884.75,3261.6399999999994
O0000023,S0000398,U001342,2025-12-20T11:41:33,Card,2739.1,2844.6,105.5,3,1,Fashion,"{""Fashion"": 1.0}",3.9,2039.28,699.8199999999999
O0000024,S0000418,U000554,2025-11-24T00:55:35,Wallet,1905.19,2019.44,114.25,2,1,Beauty,"{""Beauty"": 1.0}",4.1,972.34,932.85
O0000025,S0000440,U002170,2025-12-03T23:15:39,NetBanking,2139.67,2385.74,246.07,2,1,Electronics,"{""Electronics"": 1.0}",3.4,1423.94,715.73
O0000026,S0000449,U001606,2026-01-03T17:32:43,UPI,11545.97,11737.28,191.31,6,4,Electronics,"{""Electronics"": 0.75, ""Beauty"": 0.25}",3.95,7432.3,4113.669999999999
O0000027,S0000459,U000962,2026-01-10T05:24:03,Card,11456.85,12162.84,705.99,8,4,Fashion,"{""Fashion"": 0.5, ""Sports"": 0.25, ""Books"": 0.25}",3.775,6355.75,5101.1
O0000028,S0000464,U000417,2025-12-04T08:06:09,UPI,9699.6,11102.4,1402.8,3,1,Fashion,"{""Fashion"": 1.0}",4.9,5443.62,4255.9800000000005
O0000029,S0000472,,2025-10-31T03:23:27,UPI,11333.75,11948.32,614.57,11,4,Sports,"{""Sports"": 0.75, ""Electronics"": 0.25}",4.3,5836.37,5497.38
O0000030,S0000476,U001922,2026-01-09T19:08:10,NetBanking,3676.69,4106.69,430.0,2,2,Fashion,"{""Fashion"": 0.5, ""Sports"": 0.5}",4.1,2492.65,1184.04
O0000031,S0000489,,2025-12-15T07:27:34,UPI,10681.04,11250.42,569.38,6,2,Beauty,"{""Sports"": 0.5, ""Beauty"": 0.5}",3.7,6914.58,3766.460000000001
O0000032,S0000492,U000574,2025-10-25T11:05:02,Wallet,9084.09,10658.05,1573.96,6,4,Beauty,"{""Books"": 0.25, ""Beauty"": 0.25, ""Fashion"": 0.25, ""Home"": 0.25}",4.3,6616.57,2467.5200000000004
O0000033,S0000513,U000891,2025-12-11T14:31:30,UPI,11887.53,13310.55,1423.02,6,4,Beauty,"{""Fashion"": 0.25, ""Electronics"": 0.25, ""Beauty"": 0.25, ""Sports"": 0.25}",4.125,7024.54,4862.990000000001
O0000034,S0000523,,2025-12-11T00:54:47,Wallet,940.97,896.95,74.18,1,1,Beauty,"{""Beauty"": 1.0}",3.1,618.04,322.93000000000006
O0000035,S0000531,U001231,2025-12-24T02:38:13,COD,10674.22,11957.27,1283.05,8,4,Home,"{""Home"": 0.5, ""Books"": 0.25, ""Sports"": 0.25}",4.275,7878.940000000001,2795.279999999998
O0000036,S0000544,U001066,2026-01-03T07:44:32,NetBanking,1293.74,1269.09,68.46,1,1,Electronics,"{""Electronics"": 1.0}",4.1,854.8,438.94000000000005
O0000037,S0000561,U000486,2025-11-18T20:49:30,COD,17711.86,18545.91,834.05,9,4,Beauty,"{""Beauty"": 0.5, ""Sports"": 0.25, ""Electronics"": 0.25}",4.175,11402.119999999999,6309.740000000002
O0000038,S0000572,U000269,2025-11-17T12:31:43,UPI,14770.29,15788.48,1018.19,7,4,Home,"{""Home"": 0.5, ""Books"": 0.25, ""Electronics"": 0.25}",3.975,8540.22,6230.0700000000015
O0000039,S0000597,,2025-11-01T18:22:05,COD,1124.88,1224.26,167.0,2,1,Books,"{""Books"": 1.0}",3.7,835.08,289.80000000000007
O0000040,S0000607,U000040,2026-01-18T07:26:40,COD,7716.68,8334.52,617.84,5,3,Beauty,"{""Books"": 0.333, ""Beauty"": 0.333, ""Fashion"": 0.333}",4.233333333333333,5810.74,1905.9400000000005
O0000041,S0000634,U001498,2025-11-11T16:13:32,UPI,3465.1,4119.56,654.46,3,3,Sports,"{""Sports"": 0.667, ""Beauty"": 0.333}",4.166666666666667,2068.16,1396.94
O0000042,S0000636,U000205,2025-11-23T19:54:59,Card,3467.37,3639.96,172.59,3,2,Home,"{""Home"": 0.5, ""Sports"": 0.5}",3.75,2080.04,1387.33
O0000043,S0000648,U001360,2025-12-29T22:15:01,UPI,2991.33,3180.36,189.03,2,1,Electronics,"{""Electronics"": 1.0}",4.4,1970.18,1021.1499999999999
O0000044,S0000652,,2025-11-25T16:31:09,Wallet,5891.3,6203.61,312.31,4,3,Books,"{""Books"": 0.333, ""Sports"": 0.333, ""Electronics"": 0.333}",4.233333333333333,3564.59,2326.71
O0000045,S0000656,U001888,2025-11-22T18:55:38,UPI,3920.69,3995.22,74.53,4,3,Beauty,"{""Beauty"": 0.333, ""Books"": 0.333, ""Electronics"": 0.333}",4.066666666666666,2120.61,1800.08
O0000046,S0000667,U001953,2025-12-24T07:02:29,UPI,19708.12,20646.03,937.91,11,4,Sports,"{""Sports"": 0.75, ""Fashion"": 0.25}",4.2,12918.470000000001,6789.649999999998
O0000047,S0000681,U000749,2025-11-12T10:51:02,NetBanking,7249.5,7724.67,475.17,7,3,Books,"{""Sports"": 0.333, ""Home"": 0.333, ""Books"": 0.333}",4.466666666666667,4645.27,2604.2299999999996
O0000048,S0000689,,2025-12-15T17:33:57,UPI,1901.93,2102.3,200.37,2,1,Electronics,"{""Electronics"": 1.0}",4.2,948.88,953.0500000000001
O0000049,S0000692,U001298,2025-12-29T03:39:24,COD,2583.18,2863.94,280.76,2,2,Electronics,"{""Sports"": 0.5, ""Electronics"": 0.5}",3.75,1649.6599999999999,933.52
O0000050,S0000726,U001182,2025-10-23T01:14:39,NetBanking,7457.12,8028.26,571.14,6,3,Electronics,"{""Electronics"": 0.667, ""Books"": 0.333}",3.9333333333333336,5313.280000000001,2143.8399999999992
O0000051,S0000730,U000731,2025-11-28T14:04:43,Card,12339.29,13829.97,1490.68,7,4,Home,"{""Home"": 0.5, ""Sports"": 0.25, ""Books"": 0.25}",3.6,7945.030000000001,4394.26
O0000052,S0000732,U000746,2025-12-15T22:29:17,Wallet,7289.84,8049.68,759.84,6,3,Beauty,"{""Electronics"": 0.333, ""Books"": 0.333, ""Beauty"": 0.333}",4.3999999999999995,5066.76,2223.08
O0000053,S0000745,U001245,2026-01-11T14:28:36,Wallet,5818.96,6731.26,912.3,4,2,Electronics,"{""Electronics"": 1.0}",4.35,4297.92,1521.04
O0000054,S0000752,U001955,2025-12-09T11:25:16,Card,6529.52,7175.74,646.22,3,3,Beauty,"{""Beauty"": 0.667, ""Electronics"": 0.333}",4.366666666666666,4276.04,2253.4800000000005
O0000055,S0000776,U001280,2025-12-02T13:27:00,NetBanking,7166.76,7622.86,456.1,5,3,Beauty,"{""Beauty"": 0.333, ""Sports"": 0.333, ""Books"": 0.333}",4.133333333333334,5215.030000000001,1951.7299999999996
O0000056,S0000782,U000505,2025-11-26T05:37:11,NetBanking,5665.6,5767.63,102.03,5,4,Books,"{""Electronics"": 0.25, ""Fashion"": 0.25, ""Books"": 0.25, ""Home"": 0.25}",4.0,3291.07,2374.53
O0000057,S0000785,,2025-11-29T11:38:49,Card,3080.61,3270.27,189.66,2,2,Books,"{""Fashion"": 0.5, ""Books"": 0.5}",4.05,2012.5500000000002,1068.06
O0000058,S0000792,U000653,2025-11-13T23:23:15,COD,8296.52,8610.28,313.76,6,3,Books,"{""Books"": 0.667, ""Fashion"": 0.333}",4.066666666666666,5326.1,2970.42
O0000059,S0000795,U002141,2025-10-27T16:38:24,Wallet,2361.02,2475.67,114.65,2,2,Electronics,"{""Electronics"": 1.0}",4.25,1465.67,895.3499999999999
O0000060,S0000800,U000123,2026-01-14T22:52:55,Card,13081.56,14303.08,1221.52,5,3,Beauty,"{""Electronics"": 0.333, ""Sports"": 0.333, ""Beauty"": 0.333}",4.133333333333334,7897.12,5184.44
O0000061,S0000815,U000165,2025-10-29T01:48:15,UPI,8193.03,8897.9,704.87,7,3,Electronics,"{""Electronics"": 0.667, ""Books"": 0.333}",3.966666666666667,5881.7,2311.330000000001
O0000062,S0000832,U001834,2026-01-10T02:16:28,UPI,2130.54,2364.02,233.48,2,2,Electronics,"{""Electronics"": 0.5, ""Sports"": 0.5}",4.15,1595.1999999999998,535.3400000000001
O0000063,S0000838,U000797,2025-12-23T01:14:43,Card,9006.1,9723.22,717.12,5,2,Electronics,"{""Home"": 0.5, ""Electronics"": 0.5}",3.6500000000000004,5002.44,4003.6600000000008
O0000064,S0000839,U000336,2025-10-27T07:54:50,UPI,6946.98,7175.75,228.77,4,2,Beauty,"{""Sports"": 0.5, ""Beauty"": 0.5}",4.05,3738.6800000000003,3208.2999999999993
O0000065,S0000852,U001473,2025-11-12T07:53:45,Card,1489.0,1504.05,114.7,3,1,Fashion,"{""Fashion"": 1.0}",4.5,685.02,803.98
O0000066,S0000874,U001534,2025-11-06T03:28:19,Wallet,4453.75,4671.07,217.32,5,2,Fashion,"{""Fashion"": 1.0}",4.4,2835.98,1617.77
O0000067,S0000875,U001667,2026-01-04T06:37:16,Card,3501.89,3765.7,263.81,2,1,Beauty,"{""Beauty"": 1.0}",4.6,2584.14,917.75
O0000068,S0000876,,2025-11-19T15:58:49,COD,10031.69,11048.32,1016.63,8,4,Electronics,"{""Electronics"": 0.5, ""Books"": 0.25, ""Fashion"": 0.25}",4.325,6125.699999999999,3905.9900000000016
O0000069,S0000929,,2025-11-30T02:41:21,NetBanking,5898.83,6045.87,147.04,4,2,Beauty,"{""Sports"": 0.5, ""Beauty"": 0.5}",4.35,3877.39,2021.44
O0000070,S0000940,U000622,2026-01-18T12:58:28,UPI,8257.66,8760.95,503.29,7,3,Home,"{""Home"": 0.667, ""Sports"": 0.333}",4.166666666666667,6054.620000000001,2203.039999999999
O0000071,S0000965,U000691,2025-12-28T18:50:26,Wallet,2759.32,3121.68,362.36,2,1,Home,"{""Home"": 1.0}",4.4,1413.42,1345.9
O0000072,S0000992,,2025-12-23T06:06:11,Card,12965.67,14587.05,1621.38,3,2,Books,"{""Books"": 1.0}",3.75,7200.0599999999995,5765.610000000001
O0000073,S0000997,,2026-01-18T03:43:47,NetBanking,11914.44,13205.19,1290.75,8,3,Beauty,"{""Beauty"": 0.667, ""Fashion"": 0.333}",4.3,7701.53,4212.910000000001
O0000074,S0001005,U000470,2025-12-14T21:08:44,COD,4625.62,4882.41,256.79,2,2,Beauty,"{""Sports"": 0.5, ""Beauty"": 0.5}",4.3,2567.6400000000003,2057.9799999999996
O0000075,S0001011,,2025-12-20T17:10:01,UPI,12167.11,14032.56,1865.45,7,3,Beauty,"{""Electronics"": 0.333, ""Beauty"": 0.333, ""Sports"": 0.333}",4.166666666666667,7911.6,4255.51
O0000076,S0001033,U001143,2026-01-19T07:29:04,Card,8937.96,9967.89,1029.93,9,4,Sports,"{""Sports"": 0.5, ""Beauty"": 0.25, ""Home"": 0.25}",4.4,6025.040000000001,2912.9199999999983
O0000077,S0001059,U001974,2025-11-14T07:34:30,Card,11773.74,13119.54,1345.8,10,4,Sports,"{""Sports"": 0.5, ""Beauty"": 0.25, ""Electronics"": 0.25}",4.125,7099.9400000000005,4673.799999999999
O0000078,S0001076,U001573,2026-01-01T12:13:11,COD,4422.31,4769.41,347.1,4,3,Beauty,"{""Fashion"": 0.333, ""Beauty"": 0.333, ""Electronics"": 0.333}",3.733333333333333,3352.9700000000003,1069.3400000000001
O0000079,S0001096,U001567,2025-10-24T04:01:01,UPI,1519.18,1590.06,154.82,3,1,Home,"{""Home"": 1.0}",3.6,738.75,780.4300000000001
O0000080,S0001104,U001318,2025-11-06T22:24:34,Card,3401.73,3583.89,182.16,4,3,Beauty,"{""Home"": 0.333, ""Beauty"": 0.333, ""Electronics"": 0.333}",4.1000000000000005,2334.85,1066.88
O0000081,S0001107,U001266,2026-01-07T14:09:01,COD,9879.36,11293.11,1413.75,6,2,Beauty,"{""Beauty"": 0.5, ""Books"": 0.5}",4.55,6341.3099999999995,3538.050000000001
O0000082,S0001143,U000564,2025-10-28T12:19:40,Wallet,2076.32,2292.21,215.89,3,1,Electronics,"{""Electronics"": 1.0}",4.1,1615.62,460.7000000000003
O0000083,S0001156,,2026-01-01T09:08:25,NetBanking,5112.58,5564.69,452.11,3,2,Beauty,"{""Sports"": 0.5, ""Beauty"": 0.5}",4.25,3196.0,1916.58
O0000084,S0001157,U001417,2025-12-06T00:34:26,Card,646.36,656.51,62.8,1,1,Sports,"{""Sports"": 1.0}",3.0,342.41,303.95
O0000085,S0001158,U000169,2025-12-01T04:26:15,UPI,8054.48,8276.51,222.03,7,3,Electronics,"{""Electronics"": 0.667, ""Home"": 0.333}",4.233333333333333,3992.1400000000003,4062.3399999999992
O0000086,S0001166,U000019,2025-12-21T04:16:33,Wallet,7555.56,8603.56,1048.0,4,2,Books,"{""Books"": 1.0}",4.15,4889.0,2666.5600000000004
O0000087,S0001177,U000796,2026-01-17T00:42:13,Card,3255.34,3448.3,192.96,4,2,Books,"{""Books"": 0.5, ""Fashion"": 0.5}",4.300000000000001,1863.96,1391.38
O0000088,S0001182,U000638,2026-01-19T01:14:32,COD,14413.51,16020.81,1607.3,9,4,Sports,"{""Sports"": 0.5, ""Fashion"": 0.25, ""Books"": 0.25}",4.025,9235.3,5178.210000000001
O0000089,S0001187,U001006,2025-12-30T14:22:05,NetBanking,10387.65,10869.57,481.92,8,4,Sports,"{""Sports"": 0.5, ""Electronics"": 0.25, ""Fashion"": 0.25}",4.275,5895.5599999999995,4492.09
O0000090,S0001194,U000301,2025-12-07T08:05:12,UPI,11005.11,11941.93,936.82,7,4,Books,"{""Books"": 0.25, ""Sports"": 0.25, ""Fashion"": 0.25, ""Electronics"": 0.25}",4.3,7731.24,3273.870000000001
O0000091,S0001195,U000481,2026-01-05T22:31:20,UPI,10545.58,11532.52,986.94,8,3,Books,"{""Electronics"": 0.333, ""Books"": 0.333, ""Home"": 0.333}",4.2,7867.24,2678.34
O0000092,S0001203,U001135,2026-01-16T00:54:05,COD,6656.83,7303.42,646.59,4,2,Fashion,"{""Fashion"": 0.5, ""Home"": 0.5}",4.2,3899.1899999999996,2757.6400000000003
O0000093,S0001206,U000616,2025-10-23T11:51:32,Card,10674.12,11010.44,336.32,6,3,Fashion,"{""Fashion"": 0.667, ""Electronics"": 0.333}",4.1000000000000005,6926.75,3747.370000000001
O0000094,S0001216,U001583,2026-01-02T07:07:12,Card,2146.61,2405.2,258.59,4,2,Beauty,"{""Beauty"": 0.5, ""Fashion"": 0.5}",4.35,1320.52,826.0900000000001
O0000095,S0001219,U000967,2025-12-14T01:58:09,UPI,10745.41,11564.94,819.53,7,3,Books,"{""Electronics"": 0.333, ""Sports"": 0.333, ""Books"": 0.333}",4.366666666666667,7048.32,3697.09
O0000096,S0001237,U001411,2025-11-22T20:13:23,Card,6190.75,6709.47,518.72,6,2,Books,"{""Books"": 0.5, ""Home"": 0.5}",3.95,4609.35,1581.3999999999996
O0000097,S0001266,U000013,2025-12-04T17:09:01,UPI,5763.81,6016.23,252.42,6,4,Beauty,"{""Beauty"": 0.25, ""Home"": 0.25, ""Fashion"": 0.25, ""Sports"": 0.25}",4.0,3529.2999999999997,2234.5100000000007
O0000098,S0001285,U001276,2025-11-10T05:38:14,Card,6076.4,6622.62,546.22,4,3,Electronics,"{""Sports"": 0.333, ""Electronics"": 0.333, ""Fashion"": 0.333}",4.133333333333333,4172.22,1904.1799999999994
O0000099,S0001307,U001041,2026-01-11T06:13:20,UPI,31533.63,33330.77,1797.14,8,3,Beauty,"{""Beauty"": 0.333, ""Fashion"": 0.333, ""Books"": 0.333}",4.1000000000000005,20242.71,11290.920000000002
O0000100,S0001324,U002192,2025-12-06T22:53:33,NetBanking,6368.75,7330.21,961.46,6,3,Books,"{""Books"": 0.667, ""Sports"": 0.333}",3.9,3650.3300000000004,2718.4199999999996
O0000101,S0001327,U000765,2025-12-22T04:54:50,UPI,10667.23,11185.16,517.93,9,4,Sports,"{""Sports"": 0.75, ""Fashion"": 0.25}",3.675,6746.45,3920.7799999999997
O0000102,S0001330,U000093,2026-01-16T07:19:58,UPI,10516.94,12031.4,1514.46,6,3,Beauty,"{""Sports"": 0.333, ""Beauty"": 0.333, ""Books"": 0.333}",4.333333333333333,6137.83,4379.110000000001
O0000103,S0001369,U002120,2025-12-12T08:27:41,UPI,11571.41,11721.61,150.2,9,4,Beauty,"{""Beauty"": 0.5, ""Sports"": 0.25, ""Fashion"": 0.25}",4.25,7452.08,4119.33
O0000104,S0001412,,2026-01-07T12:34:18,Card,10343.95,11363.24,1019.29,5,2,Home,"{""Home"": 0.5, ""Sports"": 0.5}",4.5,6903.079999999999,3440.8700000000017
O0000105,S0001421,U001831,2025-11-28T16:50:19,UPI,6593.81,7074.52,480.71,4,3,Home,"{""Home"": 0.667, ""Sports"": 0.333}",4.233333333333333,4178.51,2415.3
O0000106,S0001431,U000067,2025-10-28T09:25:31,UPI,14428.02,16425.26,1997.24,8,4,Electronics,"{""Electronics"": 0.5, ""Fashion"": 0.25, ""Home"": 0.25}",4.475,8665.289999999999,5762.730000000001
O0000107,S0001444,U000568,2026-01-07T00:00:46,Wallet,7149.39,8235.92,1086.53,4,2,Electronics,"{""Electronics"": 0.5, ""Home"": 0.5}",4.05,4152.78,2996.6100000000006
O0000108,S0001446,U001495,2025-12-03T13:23:23,UPI,8418.01,8974.71,556.7,4,2,Electronics,"{""Electronics"": 0.5, ""Fashion"": 0.5}",4.25,6151.54,2266.4700000000003
O0000109,S0001469,U001648,2025-12-25T04:54:21,UPI,7689.0,8640.66,951.66,2,1,Home,"{""Home"": 1.0}",3.6,4501.78,3187.2200000000003
O0000110,S0001491,U000355,2026-01-07T06:14:07,COD,4579.91,4985.54,405.63,4,2,Electronics,"{""Sports"": 0.5, ""Electronics"": 0.5}",4.35,3498.7900000000004,1081.1199999999994
O0000111,S0001517,,2025-11-02T00:24:49,NetBanking,11106.07,11853.4,747.33,7,3,Books,"{""Books"": 0.667, ""Electronics"": 0.333}",3.9,6895.17,4210.9
O0000112,S0001565,U000663,2025-11-22T06:41:29,NetBanking,8762.86,9692.38,929.52,4,2,Electronics,"{""Electronics"": 0.5, ""Home"": 0.5}",4.45,5015.2,3747.6600000000008
O0000113,S0001583,,2025-11-22T05:11:13,Wallet,11953.44,12584.49,631.05,9,4,Sports,"{""Sports"": 0.75, ""Electronics"": 0.25}",4.3,8379.9,3573.540000000001
O0000114,S0001592,U000308,2026-01-07T02:13:21,UPI,9813.08,10602.29,789.21,7,4,Beauty,"{""Beauty"": 0.25, ""Home"": 0.25, ""Sports"": 0.25, ""Electronics"": 0.25}",4.125,6941.139999999999,2871.9400000000005
O0000115,S0001603,U001821,2026-01-05T22:44:47,UPI,9606.85,10560.83,953.98,6,3,Fashion,"{""Fashion"": 0.667, ""Beauty"": 0.333}",4.166666666666667,6986.6900000000005,2620.16
O0000116,S0001607,,2025-12-18T05:47:57,UPI,6034.33,6438.04,403.71,4,2,Books,"{""Books"": 0.5, ""Fashion"": 0.5}",4.0,3625.94,2408.39
O0000117,S0001610,U001839,2026-01-15T18:30:14,Card,1668.41,1642.39,60.04,2,2,Beauty,"{""Electronics"": 0.5, ""Beauty"": 0.5}",4.300000000000001,918.82,749.59
O0000118,S0001628,U001498,2025-11-22T01:43:29,Card,1363.02,1461.47,155.9,1,1,Electronics,"{""Electronics"": 1.0}",4.0,948.92,414.1
O0000119,S0001646,U000552,2025-12-06T03:15:08,Card,9122.18,10353.68,1231.5,8,4,Fashion,"{""Fashion"": 0.5, ""Home"": 0.25, ""Sports"": 0.25}",4.1,6126.64,2995.54
O0000120,S0001654,U000955,2025-12-26T16:40:31,Wallet,7830.04,8491.44,661.4,6,2,Beauty,"{""Beauty"": 0.5, ""Home"": 0.5}",4.6,4119.120000000001,3710.919999999999
O0000121,S0001657,U001195,2026-01-16T11:21:13,Card,7456.34,8289.96,833.62,5,3,Electronics,"{""Electronics"": 0.667, ""Home"": 0.333}",4.266666666666667,4881.15,2575.1900000000005
O0000122,S0001685,U001941,2025-11-17T12:20:18,Card,7330.15,7931.36,601.21,5,2,Books,"{""Books"": 0.5, ""Sports"": 0.5}",3.95,5006.26,2323.8899999999994
O0000123,S0001686,U001883,2025-12-14T04:15:17,COD,2906.88,3029.16,122.28,3,1,Beauty,"{""Beauty"": 1.0}",4.1,1458.51,1448.3700000000001
O0000124,S0001687,U000767,2025-11-16T07:36:48,UPI,6437.47,7035.64,598.17,5,3,Beauty,"{""Beauty"": 0.333, ""Electronics"": 0.333, ""Home"": 0.333}",4.266666666666667,4214.9400000000005,2222.5299999999997
O0000125,S0001705,U001931,2025-12-24T22:01:04,Card,3891.33,4138.01,246.68,3,3,Beauty,"{""Beauty"": 0.333, ""Books"": 0.333, ""Electronics"": 0.333}",4.333333333333333,2252.59,1638.7399999999998
O0000126,S0001741,U000520,2026-01-05T17:46:30,UPI,9288.45,9979.39,690.94,9,4,Beauty,"{""Beauty"": 0.25, ""Books"": 0.25, ""Home"": 0.25, ""Fashion"": 0.25}",4.3,6238.660000000001,3049.79
O0000127,S0001742,U001032,2025-12-06T17:57:22,COD,17628.48,18268.5,640.02,4,2,Beauty,"{""Beauty"": 0.5, ""Sports"": 0.5}",3.8499999999999996,10996.380000000001,6632.0999999999985
O0000128,S0001745,U000670,2025-11-11T21:48:04,Card,5440.59,5987.64,547.05,5,2,Beauty,"{""Beauty"": 0.5, ""Books"": 0.5}",3.6,4302.18,1138.4099999999999
O0000129,S0001768,U001632,2025-12-04T19:04:00,Card,4093.59,4399.7,306.11,5,2,Books,"{""Electronics"": 0.5, ""Books"": 0.5}",4.25,2844.74,1248.8500000000004
O0000130,S0001770,U001384,2025-12-19T04:34:28,UPI,10016.3,10612.44,596.14,8,4,Books,"{""Books"": 0.5, ""Sports"": 0.25, ""Beauty"": 0.25}",3.925,6179.45,3836.8499999999995
O0000131,S0001795,U000780,2026-01-07T19:11:51,NetBanking,7488.56,7946.98,458.42,7,4,Electronics,"{""Electronics"": 0.5, ""Home"": 0.25, ""Books"": 0.25}",4.325,4222.01,3266.55
O0000132,S0001799,U002070,2025-10-23T20:29:14,Wallet,2650.91,2877.45,226.54,3,2,Beauty,"{""Beauty"": 0.5, ""Fashion"": 0.5}",4.4,1802.73,848.1799999999998
O0000133,S0001856,U001399,2025-11-15T07:39:59,Card,22054.68,23457.6,1402.92,8,4,Beauty,"{""Beauty"": 0.5, ""Home"": 0.25, ""Books"": 0.25}",4.075,13999.81,8054.870000000001
O0000134,S0001871,,2025-11-07T11:54:53,Wallet,8096.12,8998.37,902.25,5,3,Electronics,"{""Fashion"": 0.333, ""Electronics"": 0.333, ""Sports"": 0.333}",3.9333333333333336,5560.639999999999,2535.4800000000005
O0000135,S0001876,U001605,2025-11-30T05:34:23,UPI,7736.86,8146.37,409.51,3,2,Books,"{""Books"": 0.5, ""Sports"": 0.5}",3.95,4879.42,2857.4399999999996
O0000136,S0001878,U002152,2026-01-04T08:58:07,NetBanking,3819.96,4004.99,185.03,3,3,Books,"{""Books"": 0.333, ""Electronics"": 0.333, ""Fashion"": 0.333}",4.1000000000000005,2142.58,1677.38
O0000137,S0001889,,2025-12-29T03:59:41,UPI,2422.19,2559.52,137.33,1,1,Books,"{""Books"": 1.0}",4.9,1562.92,859.27
O0000138,S0001913,U002113,2025-10-30T13:07:45,UPI,13479.0,14753.08,1274.08,5,3,Electronics,"{""Fashion"": 0.333, ""Sports"": 0.333, ""Electronics"": 0.333}",4.133333333333334,9287.55,4191.450000000001
